id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
5YNhmCXEqrlftVm5QJBJFI,Makes Me Happy,['Drake Bell'],127693,1/1/06,2006,0.00787,0.457,0.831,0.0,0.217,-5.786,0.0427,159.919,0.676,1,0,47,0,1
5H4mXWKcicuLKDn4Jy0sK7,Time Flies,['Drake'],192932,5/1/20,2020,0.201,0.864,0.477,0.0,0.182,-5.786,0.224,86.46,0.5,1,10,79,1,1
6wWaVoUOzLQJHd3bWAUpdZ,"Never Recover (Lil Baby & Gunna, Drake)","['Lil Baby', 'Gunna', 'Drake']",194732,10/5/18,2018,0.0677,0.753,0.686,0.0,0.193,-5.415,0.284,132.055,0.886,0,1,72,1,1
6WGTfHSQtUcEx5vgpxTLCs,LOYAL (feat. Drake and Bad Bunny) - Remix,"['PARTYNEXTDOOR', 'Drake', 'Bad Bunny']",281120,3/27/20,2020,0.479,0.877,0.529,0.00159,0.094,-6.235,0.0461,104.984,0.422,0,0,71,1,1
3szf2z1Cy1QMrtHrbn8rz9,Elevate,['Drake'],184960,6/29/18,2018,0.015,0.758,0.474,0.0,0.116,-8.72,0.146,76.062,0.0541,1,1,64,1,1
7wbClNblLd3hkosmuYAdN9,305 To My City,"['Drake', 'Detail']",255853,1/1/13,2013,0.0567,0.419,0.494,0.0,0.144,-8.782,0.345,67.622,0.134,0,4,46,1,1
0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),"['Drake', 'Lil Wayne']",206627,11/15/11,2011,0.123,0.444,0.627,0.0,0.0795,-8.744,0.252,98.21,0.359,0,7,68,1,1
7y6c07pgjZvtHI9kuMVqk1,Get It Together,"['Drake', 'Black Coffee', 'Jorja Smith']",250337,3/18/17,2017,0.0945,0.781,0.721,0.391,0.104,-9.133,0.0514,123.011,0.849,0,5,70,1,1
0jF2AdhsalO1L7KkhK4LE5,Practice,['Drake'],237733,11/15/11,2011,0.574,0.446,0.239,7.76e-05,0.12,-15.327,0.0876,104.675,0.31,1,1,61,1,0
1MLC5UtuCC9d5gN30e7cqj,Fly,['Nick Drake'],178000,3/6/70,1970,0.556,0.522,0.231,0.676,0.117,-18.562,0.0335,114.307,0.639,1,8,46,0,2
5NFYuqu8V6QXc6mzcLImd6,Hype,['Drake'],209413,5/6/16,2016,0.0255,0.787,0.635,0.0,0.356,-8.282,0.153,130.014,0.238,0,4,61,1,1
5pekaGq0N6VkDiTZJgK18A,Only,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']",312027,12/15/14,2014,0.411,0.668,0.494,0.0,0.0969,-7.251,0.73,120.056,0.257,0,8,52,1,3
3NxAG2ni1lLa8RKL6a0INc,Childs Play,['Drake'],241400,5/6/16,2016,0.017,0.745,0.473,1.12e-05,0.197,-11.243,0.0955,80.006,0.296,0,10,65,1,1
5Psnhdkyanjpgc2P8A5TSM,Emotionless,['Drake'],302173,6/29/18,2018,0.0249,0.413,0.677,0.0,0.0793,-5.12,0.255,172.501,0.0845,1,1,67,1,1
1zi7xx7UVEFkmKfv06H8x0,One Dance,"['Drake', 'WizKid', 'Kyla']",173987,5/6/16,2016,0.00776,0.792,0.625,0.00188,0.329,-5.609,0.0536,103.967,0.37,1,1,82,0,1
6NwhtCYkfwWlcR62Ac4E7y,Successful (feat. Trey Songz & Lil Wayne),"['Drake', 'Trey Songz', 'Lil Wayne']",375050,2009,2009,0.536,0.562,0.544,0.0,0.17,-5.065,0.369,159.517,0.231,1,8,61,1,1
